model,features,val_accuracy,val_precision,val_recall,val_f1,val_avg_acc_prec_rec_f1,test_accuracy,test_precision,test_recall,test_f1,test_avg_acc_prec_rec_f1,tuned,best_params,cv_score
XGBoost,combined,0.5587620242576328,0.5525351953091482,0.5587620242576328,0.5538861661661305,0.5559863524976361,0.5637808448347972,0.558611808478648,0.5637808448347972,0.5601984256650824,0.5615929809533312,True,"{'classifier__colsample_bytree': 0.8, 'classifier__max_depth': 6, 'classifier__n_estimators': 300, 'classifier__subsample': 0.8}",0.5648998365347321
XGBoost,ngrams,0.5489335006273526,0.5455772785559573,0.5489335006273526,0.545336632287862,0.5471952280246312,0.5554161438728565,0.5523890756692594,0.5554161438728565,0.5523084628528243,0.5538824565669491,True,"{'classifier__colsample_bytree': 1.0, 'classifier__max_depth': 6, 'classifier__n_estimators': 300, 'classifier__subsample': 0.8}",0.5524565078490015
RandomForest,ngrams,0.5533249686323714,0.5425202041606172,0.5533249686323714,0.5424879163679719,0.547914514448333,0.5506064408197406,0.5407553143630515,0.5506064408197406,0.5407650293606358,0.5456833063407921,True,"{'classifier__max_depth': None, 'classifier__max_features': 'log2', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5}",0.5498895986806932
RandomForest,combined,0.5514429109159348,0.5439102604953363,0.5514429109159348,0.5452476783563567,0.5480109401708907,0.561271434546215,0.5554405129635192,0.561271434546215,0.556314517833799,0.5585744749724371,True,"{'classifier__max_depth': None, 'classifier__max_features': 'log2', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5}",0.5462859487529318
XGBoost,opinion,0.5424508573818486,0.5366168555173557,0.5424508573818486,0.5383473725187634,0.5399664856999541,0.5472605604349644,0.5424957863333332,0.5472605604349644,0.5441482399161486,0.5452912867798526,True,"{'classifier__colsample_bytree': 1.0, 'classifier__max_depth': 6, 'classifier__n_estimators': 300, 'classifier__subsample': 0.8}",0.5420737045720566
MultinomialNB,ngrams,0.5535340861564199,0.5502163665373891,0.5535340861564199,0.550950544123163,0.552058770743348,0.561271434546215,0.5602448239527721,0.561271434546215,0.5603015389950786,0.5607723080100702,True,{'classifier__alpha': 1.0},0.5417758019839513
RandomForest,opinion,0.5326223337515684,0.526796106810574,0.5326223337515684,0.5282693950911145,0.5300775423512063,0.5299038059389377,0.5242274407119062,0.5299038059389377,0.5256015771484477,0.5274091574345573,True,"{'classifier__max_depth': None, 'classifier__max_features': 'log2', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5}",0.5260777392196548
SGDClassifier,combined,0.4993726474278545,0.49706834376672543,0.4993726474278545,0.4980951620170142,0.4984772001598622,0.5050188205771644,0.5041344362726696,0.5050188205771644,0.5044982263123267,0.5046675759348312,True,"{'classifier__alpha': 0.001, 'classifier__loss': 'log_loss', 'classifier__max_iter': 10000, 'classifier__penalty': 'elasticnet', 'classifier__tol': 0.001}",0.4916306372150901
SGDClassifier,opinion,0.5037641154328732,0.5081874291016807,0.5037641154328732,0.5055012989600656,0.5053042397318732,0.5089920535340862,0.512101518400285,0.5089920535340862,0.5102726204608519,0.5100895614823273,True,"{'classifier__alpha': 0.001, 'classifier__loss': 'log_loss', 'classifier__max_iter': 10000, 'classifier__penalty': 'elasticnet', 'classifier__tol': 0.001}",0.49012424615712086
MultinomialNB,combined,0.49330823923044753,0.5339070132269242,0.49330823923044753,0.4708889678249627,0.4978531148781955,0.49560853199498117,0.5347564669620957,0.49560853199498117,0.4759073724525928,0.5004702258511627,True,{'classifier__alpha': 1.0},0.48952192621776236
SGDClassifier,ngrams,0.48180677540777916,0.48259430039027157,0.48180677540777916,0.48212174892750936,0.48208240003333486,0.4993726474278545,0.4987458908147207,0.4993726474278545,0.4990411945260362,0.4991330950491165,True,"{'classifier__alpha': 0.001, 'classifier__loss': 'hinge', 'classifier__max_iter': 10000, 'classifier__penalty': 'elasticnet', 'classifier__tol': 0.001}",0.47725817933855
MultinomialNB,opinion,0.44583856127143456,0.49926598206765194,0.44583856127143456,0.4097588966737101,0.4501755003210578,0.451693851944793,0.5011367972205036,0.451693851944793,0.41857249662611634,0.45577424943405154,True,{'classifier__alpha': 1.0},0.445188904081432
