model,features,val_accuracy,val_precision,val_recall,val_f1,val_avg_acc_prec_rec_f1,test_accuracy,test_precision,test_recall,test_f1,test_avg_acc_prec_rec_f1,tuned,best_params,cv_score
XGBoost,combined,0.5348627980206928,0.5331274973570571,0.5348627980206928,0.5330106966470602,0.5339659475113757,0.5528565002249213,0.5513510978391752,0.5528565002249213,0.5516478553805984,0.5521779884174041,True,"{'classifier__colsample_bytree': 1.0, 'classifier__max_depth': 6, 'classifier__n_estimators': 200, 'classifier__subsample': 0.8}",0.5337894723805284
RandomForest,combined,0.5263157894736842,0.5172607418521418,0.5263157894736842,0.5179864500619217,0.5219696927153579,0.5443094916779128,0.5385024360306004,0.5443094916779128,0.539112886443451,0.5415585764574692,True,"{'classifier__max_depth': None, 'classifier__max_features': 'log2', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5}",0.5235917169750126
RandomForest,ngrams,0.5344129554655871,0.5260632910763088,0.5344129554655871,0.5248023841779171,0.52992289654635,0.5321637426900585,0.52633507417897,0.5321637426900585,0.5270552544698162,0.5294294535072258,True,"{'classifier__max_depth': None, 'classifier__max_features': 'log2', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 2}",0.5235751755033302
XGBoost,ngrams,0.5123706702654071,0.5188300626516776,0.5123706702654071,0.5142599118852325,0.514457828766931,0.5132703553756185,0.5180558094156632,0.5132703553756185,0.5147653975465002,0.5148404794283501,True,"{'classifier__colsample_bytree': 0.8, 'classifier__max_depth': 6, 'classifier__n_estimators': 200, 'classifier__subsample': 0.8}",0.5174166158327903
XGBoost,opinion,0.51731893837157,0.5178930720495615,0.51731893837157,0.5174838599980084,0.5175037021976775,0.5416104363472785,0.5429915890490687,0.5416104363472785,0.5421551693218505,0.5420919077663691,True,"{'classifier__colsample_bytree': 0.8, 'classifier__max_depth': 6, 'classifier__n_estimators': 200, 'classifier__subsample': 0.8}",0.5164099455896523
RandomForest,opinion,0.5119208277103013,0.5053837291195256,0.5119208277103013,0.5062819402459231,0.5088768311965128,0.52046783625731,0.514954767202635,0.52046783625731,0.515438041169493,0.5178321202216869,True,"{'classifier__max_depth': None, 'classifier__max_features': 'log2', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5}",0.506491972787361
MultinomialNB,ngrams,0.5254161043634727,0.520589779566797,0.5254161043634727,0.5218540244536829,0.5233190031868563,0.5065227170490328,0.5036548762578822,0.5065227170490328,0.5046569831618456,0.5053393233794483,True,{'classifier__alpha': 1.0},0.5022991331797573
MultinomialNB,combined,0.47818263607737294,0.5385455826357104,0.47818263607737294,0.478245661185197,0.4932891289939133,0.4885290148448043,0.5435720134541758,0.4885290148448043,0.4869473609168494,0.5018943510151584,True,{'classifier__alpha': 0.1},0.4983401181450848
SGDClassifier,combined,0.4750337381916329,0.4772952870441429,0.4750337381916329,0.47595628177612037,0.4758297613008823,0.46963562753036436,0.4711899434266144,0.46963562753036436,0.47030706055456273,0.4701920647604765,True,"{'classifier__alpha': 0.001, 'classifier__loss': 'hinge', 'classifier__max_iter': 10000, 'classifier__penalty': 'elasticnet', 'classifier__tol': 0.001}",0.47006975910193
MultinomialNB,opinion,0.4399460188933873,0.4933041787764273,0.4399460188933873,0.43221698293824035,0.45135329987536055,0.4552406657669816,0.5107747821825184,0.4552406657669815,0.4467949524032516,0.4670127665299333,True,{'classifier__alpha': 0.5},0.4681487727504849
SGDClassifier,opinion,0.45883940620782726,0.4620768929437197,0.45883940620782726,0.46010448220377287,0.45996504689078677,0.46288798920377866,0.4674420615300211,0.46288798920377866,0.464181764590178,0.4643499511319391,True,"{'classifier__alpha': 0.001, 'classifier__loss': 'log_loss', 'classifier__max_iter': 10000, 'classifier__penalty': 'elasticnet', 'classifier__tol': 0.001}",0.4658206700057462
SGDClassifier,ngrams,0.46153846153846156,0.46281165688430803,0.46153846153846156,0.4620451851683998,0.4619834412824077,0.4493927125506073,0.4502475266152534,0.4493927125506073,0.44977597633635247,0.44970223201320514,True,"{'classifier__alpha': 0.001, 'classifier__loss': 'log_loss', 'classifier__max_iter': 10000, 'classifier__penalty': 'elasticnet', 'classifier__tol': 0.001}",0.45532762896043194
